_id,Name_song,Genero,Artista,user_id,user_age,analisis,valid,Lyrics
20010,Guerrera,pop,C. Tangana,[],[],0,0,"


Letra de ""Guerrera"" ft. Dellafuente[Estribillo: C. Tangana]
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
(Es una guerrera)

[Verso 1: Dellafuente]
Ella tiene arsenal, ella, pa' cargarse a cualquiera
Le gusta viajar, ella, pega'ita a mi vera
Tiene el pedal, ella, cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

Lo juro, me muera
Es una guerrera
Lo juro, me muera
Lo juro, me muera

[Verso 2: Dellafuente & C. Tangana]
Ella roba en las tiendas
Atraca los bancos, se entera de to' los santos
Se sabe el nombre del jurado
Tiene fichados los horarios
Tiene una hacienda, tres o cuatro barcos
Un M4 y un Lambo
Tiene cuero y piel en el armario
Un nombre hecho por todo el barrio
Y ella cierra los ojos y ve
A través de las paredes
Tiene la fuerza de mil hombres
Y yo me pierdo en su timidez
Eso...

[Estribillo: C. Tangana & Dellafuente]
Ella, que ha nacido modelo, diva y superestrella
Deja el mundo menos bonito cuando se aleja
Riendo porque mi alma le llora y queja
Es una guerrera, ella
Lo juro, me muera, ella
Es una guerrera, ella
Lo juro, me muera, ella
Eso es

[Verso 3: Dellafuente]
Y el orgullo me robó
A punta de Kalashnikov
Y mi cerebro secuestró
Calla'ita con silenciador
Y ahora to'l mundo sabe:
Que tiene arsenal pa' cargarse a cualquiera
Le encanta viajar pega'íta a mi vera
Ella, tiene el pedal, y cuando quiere acelera
Adicta a pelear, es una guerrera
(Eso es)

[Outro: C. Tangana & Dellafuente]
Ella, lo juro, me muera
Ella, es una guerrera
Lo juro, me muera
Ella, lo juro, me muera...

"
20011,El Patio,pop,Pablo López,"[372575495,388019140]","[27,16]",2,0,"


Letra de ""El Patio""[Coro]
Fuera, vete de mi casa
Tú no eres mi amiga
Que yo sigo jugando qué más da
Sigo jugando solo, me aburro

El patio está vació
Y suenan las sirenas
Y yo sigo jugando, qué más da
Sigo jugando y siempre me castigas

[Estribillo]
Y solo quiero que te vayas
Solo quiero que se acabe
Solo quiero que me dejes solo

[verso]
Fuera, vete de mi casa
Suéltame las manos
No soy más que un niño
Con los pies descalzos

Y yo sigo jugando, qué más da
Sigo jugando solo

Nada, ya no queda nada
Solo tu delirio
Tu ruido insoportable en el salón
No queda nada más que tu fantasma

[Estribillo]
Y solo quiero que te vayas
Solo quiero que se acabe
Solo quiero que me dejes solo

[Coro]
Fuera, vete de mi casa
Suéltame las manos
No soy más que un niño
Con los pies descalzos

Y yo sigo jugando, qué más da
Sigo jugando solo
Yo sigo jugando, qué más da

"
20012,No Vaya A Ser,pop,Pablo Alborán,"[429520994,489327083]","[31,23]",2,0,"

[Verso 1]
No hay reglas para amar
No hay forma de acertar
Solo pretendo ser
Tu mejor verdad

Pero tú vienes y te vas
Y yo alerto al corazón
Si te vas a quedar
No entenderé otro adiós

[Pre-Coro]
Que el hambre que tienes se olvida
De las mordidas que ya le dio a mi vida

[Coro]
No vaya a ser que te quiera y te vuelvas a ir
No vaya a ser que me enamore aún más de ti
No vaya a ser que me equivoque y te vuelva a perder
No vaya a ser que me caiga otra vez

[Verso 2]
Te juro que intenté
No verte en otra piel
Vacío en el papel
Mi rabia y mi ser

Espero no llevar
La cruz de perdonar
A quién no me hace bien
Y juega a marear

[Pre-Coro]
El tiempo no borra, ni esconde tanta despedida
No busques más salida

[Coro]
No vaya a ser que te quiera y te vuelvas a ir
No vaya a ser que me enamore aún más de ti
No vaya a ser que me equivoque y te vuelva a perder
No vaya a ser que me caiga otra vez

No vaya a ser que te quiera y te vuelvas a ir
No vaya a ser que me enamore aún más de ti
No vaya a ser que me equivoque y te vuelva a perder
No vaya a ser que me caiga otra vez

"
20013,Saturno,pop,Pablo Alborán,"[5913140,85233041,513594025]","[26,25,51]",3,0,"

[Verso 1]
Vuelves, en cada sueño que tengo
Caigo de nuevo en tu red
Sé que tarda un tiempo
Curarme de ti de una vez

Tuve tantos momentos felices
Que olvido lo triste que fue
Darte de mi alma
Lo que tú echaste a perder

[Pre-Coro]
Yo no quería amarte
Tú me enseñaste a odiarte
Todos los besos que me imaginé
Vuelven al lugar donde los vi crecer

[Coro]
En Saturno viven los hijos que nunca tuvimos
En Plutón aún se oyen gritos de amor
Y en la Luna gritan a solas tu voz y mi voz
Pidiendo perdón, cosa que nunca pudimos hacer peor

[Verso 2]
Tienes, la misma culpa que tengo
Aunque te cueste admitir
Que sientes como siento
La almohada no suele mentir

[Pre-Coro]
Y yo no quería amarte
Tú me enseñaste a odiarte
Todos los besos que me imaginé
Vuelven al lugar donde los vi crecer

[Coro]
En Saturno viven los hijos que nunca tuvimos
En Plutón aún se oyen gritos de amor
En la Luna gritan a solas tu voz y mi voz
Pidiendo perdón, cosa que nunca pudimos hacer peor

[Outro]
Gritan a solas tu voz y mi voz
Pidiendo perdón, cosa que nunca pudimos hacer
Cosa que nunca pudimos hacer peor

"
20014,24K Magic,pop,Bruno Mars,"[494681716,243084571]","[16,27]",2,0,"

[Intro]
Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right

[Chorus]
Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 1]
Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues

[Pre-Chorus]
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Verse 2]
Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me

[Pre-Chorus]
I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)

[Chorus]
Players only, come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!

[Bridge]
(Wooh)
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling

[Chorus]
Just put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls, what y'all trying to do? (Do)
24 karat magic in the air
Head to toe so player
(24 karat)
Uh, look out

[Outro]
(24 karat magic, magic, magic)

"
20015,Rockabye,pop,Clean Bandit,[],[],0,0,"

[Intro: Sean Paul]
Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, hah
For all the single moms out there
Going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear

[Verse 1: Anne-Marie & Sean Paul]
She works at nights, by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (daily struggle)

[Pre-Chorus 1: Anne-Marie & Sean Paul]
She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I've got to do.""
(Stay up there, stay up there!)

[Chorus: Anne-Marie]
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Ah, Rockabye, no

[Post-Chorus 1: Sean Paul & Anne-Marie]
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye

[Verse 2: Sean Paul & Anne-Marie]
Single mum, how're you doing out there?
Facing the hard life, without no fear (Yeah!)
Just so you know that you really care
'Cause any obstacle come, you're well prepared (Oh, no!)
And no, mama, you never shed tear
'Cause you have to shed things year after year
And you give the yout love beyond compare (Yeah!)
You find his school fee and the bus fare (Yeah!)
Mh, Marie, the paps' disappear
In the wrong bar, can't find him nowhere
Steadily your workflow, heavily you know
So your non-stop, no time, no time for ya dear

[Bridge: Anne-Marie]
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe

[Pre-Chorus 2: Anne-Marie]
When she says, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""

[Chorus: Anne-Marie & Sean Paul]
So, rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, Rockabye, no

[Post-Chorus 2: Sean Paul & Anne-Marie]
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye

[Bridge: Anne-Marie]
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

[Pre-Chorus 1: Anne-Marie & Sean Paul]
She tells him, ""Oh, love, no one's ever gonna hurt you, love.""
""I'm gonna give you all of my love.""
""Nobody matters like you.""
(Stay up there, stay up there!)
She tells him, ""Your life ain't gon' be nothing like my life."" (Straight!)
""You're gonna grow and have a good life.""
""I'm gonna do what I got to do."", yeah

[Chorus: Anne-Marie & Sean Paul]
So, rockabye, baby, rockabye
(Rockabye, rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Rockabye, rocka-rocka-rocka-bye)
Somebody's got you
Rockabye, baby, rockabye
(Rockabye-rocka-rocka-rocka-bye)
I'm gonna rock you
Rockabye, baby, don't you cry
(Badda-bang-bang-bang, alright then)
Ah, Rockabye

[Post-Chorus 3: Sean Paul & Anne-Marie]
Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Ah, Rockabye!)
Rockabye, don't bother cry (Yeah!)
Angels surround you, just dry your eye (Yeah, ah, rockabye!)
Rockabye, don't bother cry (No!)
Lift up your head, lift it up to the sky (Oh, Rockabye!)
Rockabye, don't bother cry
Angels surround you, just dry your eye

"
20016,Don't Wanna Know,pop,Maroon 5,[],[],0,0,"

[Intro]
Oh hey
Oh, oh hey
Oh, oh, oh hey
Uh oh, uh oh

[Chorus: Adam Levine]
I don't wanna know, know, know, know
Who‘s taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

[Verse 1: Adam Levine]
Wasted (wasted)
And the more I drink the more I think about you
Oh no, no, I can't take it
Baby every place I go reminds me of you

[Pre-Chorus: Adam Levine]
Do you think of me? Of what we used to be?
Is it better now that I'm not around?
My friends are actin' strange, they don't bring up your name
Are you happy now?
Are you happy now?

[Chorus: Adam Levine]
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

[Verse 2: Adam Levine]
And every time I go out, yeah
I hear it from this one, I hear it from that one
That you got someone new
Yeah, I see but don't believe it
Even in my head you're still in my bed
Maybe I'm just a fool

[Pre-Chorus: Adam Levine]
Do you think of me? Of what we used to be?
Is it better now that I'm not around?
My friends are actin' strange, they don't bring up your name
Are you happy now?
Are you happy now?

[Chorus: Adam Levine]
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

[Verse 3: Kendrick Lamar]
(Oh hey)
No more “please stop”
No more hashtag boo'd up screenshots
No more tryin' make me jealous on your birthday
You know just how I made you better on your birthday, oh
Do he do you like this, do he woo you like this?
Do he lay it down for you, touch your poona like this?
Matter fact, never mind, we'll let the past be
May be his right now, but your body's still me, woah

[Chorus: Adam Levine]
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, no
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know
I don't wanna know, know, know, know
Who's taking you home, home, home, home
And loving you so, so, so, so
The way I used to love you, oh
I don't wanna know

[Outro]
Oh hey
Oh, oh hey
Oh, oh, oh hey
Uh oh, uh oh

"
20017,Lost on You,pop,LP,[],[],0,0,"

[Verse 1]
When you get older, plainer, saner
Will you remember all the danger
We came from?
Burning like embers, falling tender
Longing for the days of no surrender
Years ago
And will you know?

[Pre-Chorus]
So smoke 'em if you got 'em 'cause it's going down
All I ever wanted was you
I'll never get to heaven 'cause I don't know how

[Chorus]
Let's raise a glass or two
To all the things I've lost on you, ho, oh
Tell me, are they lost on you? Oh, oh
Just that you could cut me loose, ho, oh
After everything I've lost on you
Is that lost on you? Oh, oh, oh, oh, oh, ohh
Ho, oh – ho, oh, oh, oh, ohh
Is that lost on you? Ho, oh, oh, oh, oh, ohh
Oh, oh – baby, is that lost on you?
Is that lost on you?

[Verse 2]
Wishin' I could see the machinations
Understand the toil of expectations
In your mind
Hold me like you never lost your patience
Tell me that you love me more than hate me
All the time
And you're still mine

[Pre-Chorus]
So smoke 'em if you got 'em 'cause it's going down
All I ever wanted was you
Let's take a drink of heaven, this can turn around

[Chorus]
Let's raise a glass or two
To all the things I've lost on you, ho, oh
Tell me, are they lost on you? Oh, oh
Just that you could cut me loose, ho, oh
After everything I've lost on you
Is that lost on you? Ho, oh, oh, oh, oh, ohh
Oh, oh – ho, oh, oh, oh, ohh
Is that lost on you? Ho, oh, oh, oh, oh, ohh
Ho, oh – baby, is that lost on you?
Is that lost on you?

[Outro]
Lost on you
Let's raise a glass or two
To all the things I've lost on you, ho, oh
Tell me, are they lost on you? Oh, oh
Just that you could cut me loose, ho, oh
After everything I've lost on you
Is that lost on you?
Is that lost on you?

"
20018,Perfect Strangers,pop,Jonas Blue,"[500737046,17149787,92458213]","[27,45,21]",3,0,"

[Verse 1]
You were looking at me like you wanted to stay
When I saw you yesterday
I'm not wasting your time, I'm not playing no games
I see you

[Pre-Chorus]
Who knows the secret tomorrow will hold?
We don't really need to know
Cause you're here with me now, I don't want you to go
You're here with me now, I don't want you to go

[Chorus]
Maybe we're perfect strangers
Maybe it's not forever
Maybe the night will change us
Maybe we'll stay together
Maybe we'll walk away
Maybe we'll realize
We're only human
Maybe we don't need no reason
Maybe we're perfect strangers
Maybe it's not forever
Maybe the night will change us
Maybe we'll stay together
Maybe we'll walk away
Maybe we'll realize
We're only human
Maybe we don't need no reason why
Come on, come on, come over
Maybe we don't need no reason why
Come on, come on, come over

[Verse 2]
No one but you got me feeling this way
There's so much we can't explain
Maybe we're helping each other escape
I'm with you

[Pre-Chorus]
Who knows the secret tomorrow will hold?
We don't really need to know
Cause you're here with me now, I don't want you to go
You're here with me now, I don't want you to go

[Chorus]
Maybe we're perfect strangers
Maybe it's not forever
Maybe the night will change us
Maybe we'll stay together
Maybe we'll walk away
Maybe we'll realize
We're only human
Maybe we don't need no reason
Maybe we're perfect strangers
Maybe it's not forever
Maybe the night will change us
Maybe we'll stay together
Maybe we'll walk away
Maybe we'll realize
We're only human
Maybe we don't need no reason why
Come on, come on, come over
Maybe we don't need no reason why
Come on, come on, come over
Maybe we're perfect strangers
Come on, come on, come over
Maybe we don't need no reason why
Come on, come on, come over

"
20019,Cómo Te Atreves,pop,Morat,[500737046],[27],1,0,"

[Verse 1]
Hoy me pregunto que será de ti 
Te tuve cerca y ahora estás tan lejos 
Pero prohibirme recordar lo nuestro es imposible 
Es imposible

No me perdono se que te perdí 
Pero expiraron los remordimientos 
Fui dictador y el no dejarte ir debió haber sido mi primer decreto 

[Pre-Chorus]
Cuatro años sin mirarte 
Tres postales y un bolero 
Dos meses y me olvidaste 
Ni siquiera me pensaste un 29 de febrero 

Andan diciendo por la calle 
Que solo le eres fiel al viento 
El mismo que nunca hizo falta 
Para levantar tu falda cada día de por medio

[Chorus]
Cómo te atreves a volver 
A darle vida a lo que estaba muerto 
La soledad me había tratado bien 
Y no eres quien para exigir derechos 

Cómo te atreves a volver 
Y a tus cenizas convertir en fuego 
Hoy mis mentiras veo caer 
Que no es verdad que te olvidé 
Cómo te atreves a volver 

Ohhh
Ohhh

[Verse 2]
Por qué volviste si te vas a ir
Tantas mentiras que al final no veo 
Nunca fui bueno para distinguir, al fin y al cabo siempre me las creo

[Pre-Chorus]
Cuatro vidas me juraste 
Tres te odio y un te quiero 
Dos consejos para darte 
Prefiero ser un cobarde que olvidarte de primero 

Andan diciendo por la calle 
Que solo le eres fiel al viento 
El mismo que nunca hizo falta 
Para levantar tu falda cada día de por medio 

[Chorus]
Cómo te atreves a volver 
A darle vida a lo que estaba muerto 
La soledad me había tratado bien 
Y no eres quien para exigir derechos 

Cómo te atreves a volver 
Y a tus cenizas convertir en fuego 
Hoy mis mentiras veo caer 
Que no es verdad que te olvidé 
Cómo te atreves a volver 

Ohhh
Ohhh

[Bridge]
Cómo te atreves a volver
Me hiciste daño pero sigo vivo 
Contigo yo me acostumbré a perder 
Mi corazón funciona sin latidos 

[Chorus]
Cómo te atreves a volver 
Y a tus cenizas convertir en fuego 
Hoy mis mentiras veo caer 
Que no es verdad que te olvidé 
Cómo te atreves a volver 

Ohhh (Cómo te atreves a volver)
Ohhh (Como te atreves a volver, no, no, no)

"
20020,Espectacular,pop,Fangoria,[197254286],[30],1,0,"

[Intro:]
Espectacular
Sensacional
Espectacular

[Verso 1:]
Me perderé
Me perderé en el torbellino del amor

Me subiré
Me subiré en un remolino de color

Confundiré
Confundiré lo que es el norte con el sur
Renegaré de ese pasado donde tú
Tú dijiste adiós

[Verso 2:]
Escaparé
Escaparé como Dorita rumbo a Oz

Descubriré
Descubriré que el mago es solo una ilusión

Escogeré
Escogeré entre las tinieblas y la luz
Y lloraré con un presente donde tú
Tú eres ficción

[Verso 3:]
Es un vendaval
Que hará temblar mi miedo
Espectacular
Monumental revuelo
Que revolverá lo malo con lo bueno
Todo en este plan
Espectacular

Un ciclón total
Con rayos y con truenos
Espectacular
Un festival de fuego
Y retumbará
Sacudirá hasta el cielo
Espectacular
Sensacional

[Verso 4:]
Me montaré
Me montaré en un arco iris de neón

Y viajaré
Y viajaré a Las Vegas, Marte o Benidorm

Y tomaré
Y tomaré la decisión a cara o cruz
Apostaré por un futuro donde tú
Tú eres ficción

[Verso 5:]
Es un vendaval
Que hará temblar mi miedo
Espectacular
Monumental revuelo
Que revolverá lo malo con lo bueno
Todo en este plan
Espectacular
Un ciclón total
Con rayos y con truenos
Espectacular
Un festival de fuego
Y retumbará
Sacudirá hasta el cielo
Espectacular
Sensacional

[outro]
Es-pec-tacular
Espec-tacular
Es-pec-tacular
Espec-tacular
Espec-espec-espec-espec

¡Espectacular!

Espectacular, espectacular
Es un vendaval
Espectacular
Un ciclón total
Sacudirá hasta el cielo
Espectacular
Sensacional

"
